10.2307/2805368	1966	ACACIA CAFFRA (THUNB.) WILLD. WITH PARTICULAR REFERENCE TO NATAL, SOUTH AFRICA	BRITTONIA
10.2307/2423355	1967	THE ECOLOGY OF AMMOPHILA BREVILIGULATA. II. GENETIC CHANGE AS A FACTOR IN POPULATION DECLINE ON STABLE DUNES	AMERICAN MIDLAND NATURALIST
10.2307/2821378	1970		THE QUARTERLY REVIEW OF BIOLOGY
10.2307/2406802	1970	RAPID POPULATION DIFFERENTIATION IN A MOSAIC ENVIRONMENT. I. THE RESPONSE OF ANTHOXANTHUM ODORATUM POPULATIONS TO SOILS	EVOLUTION
10.2307/2258252	1968	CHRYSANTHEMUM LEUCANTHEMUM L.	JOURNAL OF ECOLOGY
10.2307/41423292	1968	CYTOLOGICAL AND EVOLUTIONARY STUDIES ON PALUSTRES VIOLETS	MADRONO
10.2307/2257588	1966	D-K	JOURNAL OF ECOLOGY
10.2307/2430251	1969	VOLUME INFORMATION	NEW PHYTOLOGIST
10.2307/2440769	1969	VOLUME INFORMATION	AMERICAN JOURNAL OF BOTANY
10.2307/2818466	1967		THE QUARTERLY REVIEW OF BIOLOGY
10.2307/2258550	1970		JOURNAL OF ECOLOGY
10.2307/1216380	1967	SOME ASPECTS OF COMPOSITAE OF EVOLUTIONARY INTEREST	TAXON
10.2307/1216383	1967	THE EVOLUTIONARY SIGNIFICANCE OF DISJUNCTIONS	TAXON
10.2307/1216384	1967	THE NEW WILLIS	TAXON
10.2307/4253100	1969	BACK MATTER	ECONOMIC BOTANY
10.2307/41423233	1966	PROPAGATION OF SOME WOODY DESERT PERENNIALS BY STEM CUTTINGS	MADRONO
10.2307/2430143	1968	BIOSYSTEMATIC STUDIES IN THE LINUM PERENNE GROUP	NEW PHYTOLOGIST
10.2307/1948565	1969	ECOLOGICAL DIFFERENTIATION IN SAND DROPSEED (SPOROBOLUS CRYPTANDRUS)	ECOLOGICAL MONOGRAPHS
10.2307/2258178	1970	EXPERIMENTAL INVESTIGATIONS OF THE SAGITTARIA GRAMINEA COMPLEX: TRANSPLANT STUDIES AND GENECOLOGY	JOURNAL OF ECOLOGY
10.2307/3277701	1970	PART 1, RESUMES NOS. 1-702	THE JOURNAL OF PARASITOLOGY
10.2307/1729159	1970	DIFFERENTIATION OF POPULATIONS	SCIENCE
10.2307/2441289	1970	ALLOCHYTRIDIUM EXPANDENS, GEN. ET. SP. N.: GROWTH AND MORPHOLOGY IN CONTINUOUS CULTURE	AMERICAN JOURNAL OF BOTANY
10.2307/2406876	1968	ADAPTATION TO HETEROGENEOUS ENVIRONMENTS. I. VARIATION IN HETEROPHYLLY IN RANUNCULUS FLAMMULA L.	EVOLUTION
10.2307/1295635	1970	PLANT BIOSYSTEMATICS	BIOSCIENCE
